X,Y,id,x,y,z,dip_dir,dip_ang,descript
-1596.678062455952158,-288782.604965394944884,2,-1596.678062455952158,-288782.604965394944884,-3819.627719622490986,294.124549416161244,4.251100985300923,thin_bright
-1591.609885025151925,-288773.006144503364339,2,-1591.609885025151925,-288773.006144503364339,-3819.490585448741513,294.124549416161244,4.251100985300923,thin_bright
-1590.841979353818715,-288770.856008623610251,2,-1590.841979353818715,-288770.856008623610251,-3819.603556495304019,294.124549416161244,4.251100985300923,thin_bright
-1590.074073682485505,-288769.32019728096202,2,-1590.074073682485505,-288769.320197280962020,-3819.587653409027098,294.124549416161244,4.251100985300923,thin_bright
-1588.154309504152252,-288765.403878357145004,2,-1588.154309504152252,-288765.403878357145004,-3819.532314002819021,294.124549416161244,4.251100985300923,thin_bright
-1587.463194399952272,-288763.560904745943844,2,-1587.463194399952272,-288763.560904745943844,-3819.572443492190814,294.124549416161244,4.251100985300923,thin_bright
-1586.541707594352147,-288761.948302836157382,2,-1586.541707594352147,-288761.948302836157382,-3819.452899754326609,294.124549416161244,4.251100985300923,thin_bright
-1575.637447061419607,-288747.588466782181058,2,-1575.637447061419607,-288747.588466782181058,-3819.414944958945398,294.124549416161244,4.251100985300923,thin_bright
-1574.485588554419564,-288745.975864872394595,2,-1574.485588554419564,-288745.975864872394595,-3819.455459961627639,294.124549416161244,4.251100985300923,thin_bright
-1573.487311181686209,-288744.132891261193436,2,-1573.487311181686209,-288744.132891261193436,-3819.629943902492869,294.124549416161244,4.251100985300923,thin_bright
-1572.642614943219542,-288742.75066105282167,2,-1572.642614943219542,-288742.750661052821670,-3819.665808622535678,294.124549416161244,4.251100985300923,thin_bright
-1571.183594167686351,-288740.754106307344045,2,-1571.183594167686351,-288740.754106307344045,-3819.373089401593916,294.124549416161244,4.251100985300923,thin_bright
-1569.878154526419621,-288738.680760994728189,2,-1569.878154526419621,-288738.680760994728189,-3819.352416580379668,294.124549416161244,4.251100985300923,thin_bright
-1568.879877153686493,-288737.144949652079958,2,-1568.879877153686493,-288737.144949652079958,-3819.386051780338221,294.124549416161244,4.251100985300923,thin_bright
-1568.035180915219826,-288735.301976040878799,2,-1568.035180915219826,-288735.301976040878799,-3819.484555381805421,294.124549416161244,4.251100985300923,thin_bright
-1554.05929769695399,-288718.062493719451595,2,-1554.059297696953990,-288718.062493719451595,-3818.880957488254353,294.124549416161244,4.251100985300923,thin_bright
-1553.560159010587313,-288716.987425779574551,2,-1553.560159010587313,-288716.987425779574551,-3818.905370728457910,294.124549416161244,4.251100985300923,thin_bright
-1552.830648622820718,-288715.95075312332483,2,-1552.830648622820718,-288715.950753123324830,-3818.879708014731932,294.124549416161244,4.251100985300923,thin_bright
-1552.101138235054123,-288714.990871034155134,2,-1552.101138235054123,-288714.990871034155134,-3818.909172438902715,294.124549416161244,4.251100985300923,thin_bright
-1551.448418414420757,-288714.146174795692787,2,-1551.448418414420757,-288714.146174795692787,-3818.932117192335681,294.124549416161244,4.251100985300923,thin_bright
-1550.60372217595409,-288713.263083273603115,2,-1550.603722175954090,-288713.263083273603115,-3818.874423070679313,294.124549416161244,4.251100985300923,thin_bright
-1550.104583489587412,-288712.533572885848116,2,-1550.104583489587412,-288712.533572885848116,-3818.896255981081140,294.124549416161244,4.251100985300923,thin_bright
-1539.238718240221033,-288699.479176473163534,2,-1539.238718240221033,-288699.479176473163534,-3818.682244008381531,294.124549416161244,4.251100985300923,thin_bright
-1538.08685973322099,-288698.480899100424722,2,-1538.086859733220990,-288698.480899100424722,-3818.471586074415882,294.124549416161244,4.251100985300923,thin_bright
-1536.167095554887737,-288696.177182086452376,2,-1536.167095554887737,-288696.177182086452376,-3818.506504217265956,294.124549416161244,4.251100985300923,thin_bright
-1534.938446480754465,-288694.487789609527681,2,-1534.938446480754465,-288694.487789609527681,-3818.667270232225292,294.124549416161244,4.251100985300923,thin_bright
-1533.863378540887879,-288692.798397132602986,2,-1533.863378540887879,-288692.798397132602986,-3818.912432233949858,294.124549416161244,4.251100985300923,thin_bright
-1532.941891735287982,-288691.185795222758316,2,-1532.941891735287982,-288691.185795222758316,-3818.880143168518316,294.124549416161244,4.251100985300923,thin_bright
-1532.020404929688084,-288689.342821611615364,2,-1532.020404929688084,-288689.342821611615364,-3819.014959482916311,294.124549416161244,4.251100985300923,thin_bright
-1530.791755855554811,-288687.11589516478125,2,-1530.791755855554811,-288687.115895164781250,-3819.143461754221789,294.124549416161244,4.251100985300923,thin_bright
-1529.102363378621703,-288684.812178150750697,2,-1529.102363378621703,-288684.812178150750697,-3818.916225591258808,294.124549416161244,4.251100985300923,thin_bright
-1528.027295438754891,-288682.508461136778351,2,-1528.027295438754891,-288682.508461136778351,-3818.890031272377655,294.124549416161244,4.251100985300923,thin_bright
-1526.49148409608847,-288680.051162988471333,2,-1526.491484096088470,-288680.051162988471333,-3818.662250315016536,294.124549416161244,4.251100985300923,thin_bright
-1524.571719917755217,-288676.749168601760175,2,-1524.571719917755217,-288676.749168601760175,-3818.447489097757170,294.124549416161244,4.251100985300923,thin_bright
-1523.957395380688467,-288674.445451587729622,2,-1523.957395380688467,-288674.445451587729622,-3818.806199064499197,294.124549416161244,4.251100985300923,thin_bright
-1523.419861410755175,-288672.372106275171973,2,-1523.419861410755175,-288672.372106275171973,-3819.274436336391773,294.124549416161244,4.251100985300923,thin_bright
-1521.884050068088527,-288670.529132663970813,2,-1521.884050068088527,-288670.529132663970813,-3819.071446835116149,294.124549416161244,4.251100985300923,thin_bright
-1521.116144396755317,-288669.454064724093769,2,-1521.116144396755317,-288669.454064724093769,-3819.027072250578840,294.124549416161244,4.251100985300923,thin_bright
-1518.966008517021919,-288666.766394874430262,2,-1518.966008517021919,-288666.766394874430262,-3818.793778389860108,294.124549416161244,4.251100985300923,thin_bright
-1516.278338667355456,-288663.92514389049029,2,-1516.278338667355456,-288663.925143890490290,-3818.498413034371424,294.124549416161244,4.251100985300923,thin_bright
-1514.742527324688808,-288661.698217443597969,2,-1514.742527324688808,-288661.698217443597969,-3818.481369562125565,294.124549416161244,4.251100985300923,thin_bright
-1513.283506549155391,-288658.626594758301508,2,-1513.283506549155391,-288658.626594758301508,-3818.944522681047147,294.124549416161244,4.251100985300923,thin_bright
-1512.131648042155575,-288656.783621147100348,2,-1512.131648042155575,-288656.783621147100348,-3818.901431944103024,294.124549416161244,4.251100985300923,thin_bright
-1510.979789535155533,-288654.940647535899188,2,-1510.979789535155533,-288654.940647535899188,-3818.973518974657054,294.124549416161244,4.251100985300923,thin_bright
-1509.443978192488885,-288652.252977686235681,2,-1509.443978192488885,-288652.252977686235681,-3819.110718771283700,294.124549416161244,4.251100985300923,thin_bright
-1508.061747984088925,-288649.718888970848639,2,-1508.061747984088925,-288649.718888970848639,-3819.118914463872898,294.124549416161244,4.251100985300923,thin_bright
-1506.679517775688964,-288647.722334225371014,2,-1506.679517775688964,-288647.722334225371014,-3818.959250389449153,294.124549416161244,4.251100985300923,thin_bright
-1506.065193238622442,-288645.495407778478693,2,-1506.065193238622442,-288645.495407778478693,-3819.252423630367502,294.124549416161244,4.251100985300923,thin_bright
-1504.606172463089024,-288643.498853033059277,2,-1504.606172463089024,-288643.498853033059277,-3819.000249091704063,294.124549416161244,4.251100985300923,thin_bright
-1503.915057358889044,-288642.116622824629303,2,-1503.915057358889044,-288642.116622824629303,-3819.063015610231560,294.124549416161244,4.251100985300923,thin_bright
-1502.916779986155916,-288640.273649213428143,2,-1502.916779986155916,-288640.273649213428143,-3819.087542389243481,294.124549416161244,4.251100985300923,thin_bright
-1501.764921479155873,-288637.969932199455798,2,-1501.764921479155873,-288637.969932199455798,-3819.075769421559926,294.124549416161244,4.251100985300923,thin_bright
-1500.536272405022601,-288635.973377453978173,2,-1500.536272405022601,-288635.973377453978173,-3818.981024417189019,294.124549416161244,4.251100985300923,thin_bright
-1499.307623330889328,-288634.437566111329943,2,-1499.307623330889328,-288634.437566111329943,-3818.829836649693789,294.124549416161244,4.251100985300923,thin_bright
-1498.232555391022743,-288632.210639664437622,2,-1498.232555391022743,-288632.210639664437622,-3818.876226335663432,294.124549416161244,4.251100985300923,thin_bright
-1497.00390631688947,-288629.830132083327044,2,-1497.003906316889470,-288629.830132083327044,-3818.793111482400491,294.124549416161244,4.251100985300923,thin_bright
-1495.69846667562274,-288628.44790187489707,2,-1495.698466675622740,-288628.447901874897070,-3818.446799021684456,294.124549416161244,4.251100985300923,thin_bright
-1494.546608168622924,-288626.758509397972375,2,-1494.546608168622924,-288626.758509397972375,-3818.266217961120219,294.124549416161244,4.251100985300923,thin_bright
-1493.317959094489652,-288624.915535786771215,2,-1493.317959094489652,-288624.915535786771215,-3818.070648714238814,294.124549416161244,4.251100985300923,thin_bright
-1492.396472288889527,-288623.302933876984753,2,-1492.396472288889527,-288623.302933876984753,-3818.097825344948888,294.124549416161244,4.251100985300923,thin_bright
-1491.167823214756254,-288621.767122534336522,2,-1491.167823214756254,-288621.767122534336522,-3817.925586912243944,294.124549416161244,4.251100985300923,thin_bright
-1490.015964707756211,-288619.693777221720666,2,-1490.015964707756211,-288619.693777221720666,-3817.880003562370803,294.124549416161244,4.251100985300923,thin_bright
-1489.017687335023084,-288618.081175311934203,2,-1489.017687335023084,-288618.081175311934203,-3817.813491327971406,294.124549416161244,4.251100985300923,thin_bright
